,energy1,energy1label,energy2,energy2label,reference,modified,published,municipality,adressdescription,postalcode,euro/m²,price,honoraires%,heating,rooms,pieces,dummygarden,bathroom,dummyterrace,dummycellar,dummyparking,dummyelevator,livingsurface
0,315,E,61,F,120003E16I11,17 dec  2019 ,5 dec  2019 ,Marcq-en-Barœul,Centre-ville - Bourg ,59700,3422.0,473000,  2, individuel,3.0,5,1.0, 1 ,,,1.0,,135.0
1,180,D,22,D,120037E1HKDJ,28 nov  2019 ,21 nov  2019 ,La Madeleine,Centre-ville ,59110,2621.0,380000, honoraires à la charge du vendeur, individuel,5.0,6,1.0, 3 ,,,,,145.0
2,22,A,118,G,120037E1HVY8,18 dec  2019 ,2 dec  2019 ,Marcq-en-Barœul,Mairie ,59700,3433.0,309000, honoraires à la charge du vendeur, individuel,3.0,4,1.0, 1 ,,,1.0,,90.0
3,180,D,22,D,120037E1HJYX,,26 nov  2019 ,La Madeleine,Pompidou - Nouvelle Madeleine ,59110,2347.0,185000, honoraires à la charge du vendeur, individuel,3.0,4,, 2 ,,,1.0,,
4,225,D,7,B,120001E1H7FI,9 dec  2019 ,7 nov  2019 ,La Madeleine,Centre-ville ,59110,3504.0,150000, honoraires à la charge du vendeur, individuel,1.0,2,, 1 ,,,,,
5,22,A,En cours de réalisation,,120037E1GVK3,10 dec  2019 ,24 oct  2019 ,La Madeleine,Centre-ville ,59110,3017.0,315000, honoraires à la charge du vendeur, collectif,2.0,3,, 2 ,,,1.0,1.0,
6,180,D,22,D,120037E1GV4Y,19 dec  2019 ,,Marcq-en-Barœul,Plouich - Clémenceau - Calmette ,59700,1961.0,182000, honoraires à la charge du vendeur, individuel,3.0,4,1.0, 1 ,,,,,
7,210,D,49,E,120003E1ID5Q,17 dec  2019 ,16 dec  2019 ,La Madeleine,Grand Boulevard ,59110,3783.0,414500,  2, collectif,2.0,3,1.0, 1 ,,,,,107.0
8,146,C,4,A,120036E1HNN4,3 dec  2019 ,21 nov  2019 ,Marcq-en-Barœul,Pont - Montplaisir ,59700,2120.0,159000, honoraires à la charge du vendeur, individuel,3.0,4,1.0, 1 ,,,,,75.0
9,180,D,22,D,120037E1GJLS,28 nov  2019 ,,Marcq-en-Barœul,Pont - Montplaisir ,59700,2310.0,149000, honoraires à la charge du vendeur, collectif,2.0,3,, 2 ,,,1.0,1.0,
10,179,D,7,B,27365867,30 nov  2019 ,,La Madeleine,Grand Boulevard ,59110,3548.0,235400, honoraires à la charge du vendeur, RADIATEUR ELECTRICITE INDIVIDUEL,2.0,3,, 1 ,1.0,,,1.0,
11,177,D,43,E,27294552,7 dec  2019 ,,Marcq-en-Barœul,Croisé Laroche - Rouges Barres ,59700,3244.0,379500, honoraires à la charge du vendeur, RADIATEUR FUEL COLLECTIF,3.0,4,, 1 ,,1.0,,1.0,117.0
12,122,C,20,C,120037E1EM8Q,9 dec  2019 ,,Marcq-en-Barœul,Plouich - Clémenceau - Calmette ,59700,2253.0,194000, honoraires à la charge du vendeur, individuel,3.0,4,1.0, 1 ,,,1.0,,
13,134,C,31,D,CKVAP60000480,17 dec  2019 ,,Marcq-en-Barœul,Centre-ville - Bourg ,59700,2487.0,263550,  5, radiateur gaz individuel,3.0,5,, 1 ,1.0,1.0,,1.0,
