,label,adress,energy1,energy1label,energy2,energy2label,pricesquare,informationlist
0,Publiée le 5 déc. 2019 | Modifiée le 17 déc. 2019 | Réf. de l’annonce : 120003E16I11,Marcq-en-Barœul 59700 (Centre-ville - Bourg),315,E,61,F,3 422 €/m²,"['Prix\u202f: 473 000 €, honoraires : 2,40% TTC inclus à la charge de l’acquéreur (461 914 € hors honoraires)', 'Estimez votre mensualité', '135 m²', '786 m² de terrain', '5 pièces', '3 chambres', 'Jardin', 'Chauffage : individuel', '1 salle de bain', '6 places de parking', 'Mandat en exclusivité', 'Réf. de l’annonce : 120003E16I11', 'Publiée le 5 déc. 2019', 'Modifiée le 17 déc. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
1,Publiée le 21 nov. 2019 | Modifiée le 28 nov. 2019 | Réf. de l’annonce : 120037E1HKDJ,La Madeleine 59110 (Centre-ville),180,D,22,D,2 621 €/m²,"['Prix\u202f: 380 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '145 m²', '100 m² de terrain', '6 pièces', '5 chambres', 'Jardin', 'Chauffage : individuel', '3 salles de bain', 'Mandat en exclusivité', 'Réf. de l’annonce : 120037E1HKDJ', 'Publiée le 21 nov. 2019', 'Modifiée le 28 nov. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
2,Publiée le 2 déc. 2019 | Modifiée le 18 déc. 2019 | Réf. de l’annonce : 120037E1HVY8,Marcq-en-Barœul 59700 (Mairie),22,A,118,G,3 433 €/m²,"['Prix\u202f: 309 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '90 m²', '100 m² de terrain', '4 pièces', '3 chambres', 'Jardin', 'Chauffage : individuel', '1 salle de bain', '2 places de parking', 'Mandat en exclusivité', 'Réf. de l’annonce : 120037E1HVY8', 'Publiée le 2 déc. 2019', 'Modifiée le 18 déc. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
3,Publiée le 26 nov. 2019 | Réf. de l’annonce : 120037E1HJYX,La Madeleine 59110 (Pompidou - Nouvelle Madeleine),180,D,22,D,2 347 €/m²,"['Prix\u202f: 185 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '78,84 m²', '4 pièces', '3 chambres', 'Chauffage : individuel', '2 salles de bain', '1 place de parking', '4e étage (sur 9)', 'Mandat en exclusivité', 'Réf. de l’annonce : 120037E1HJYX', 'Publiée le 26 nov. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
4,Publiée le 7 nov. 2019 | Modifiée le 9 déc. 2019 | Réf. de l’annonce : 120001E1H7FI,La Madeleine 59110 (Centre-ville),225,D,7,B,3 504 €/m²,"['Prix\u202f: 150 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '42,81 m²', '2 pièces', '1 chambre', 'Chauffage : individuel', '1 salle de bain', '1er étage (sur 3)', 'Mandat en exclusivité', 'Réf. de l’annonce : 120001E1H7FI', 'Publiée le 7 nov. 2019', 'Modifiée le 9 déc. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
5,Publiée le 24 oct. 2019 | Modifiée le 10 déc. 2019 | Réf. de l’annonce : 120037E1GVK3,La Madeleine 59110 (Centre-ville),22,A,En cours de réalisation,NA,3 017 €/m²,"['Prix\u202f: 315 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '104,40 m²', '3 pièces', '2 chambres', 'Chauffage : collectif', '2 salles de bain', '2 places de parking', '1er étage (sur 4)', 'Ascenseur', 'Mandat en exclusivité', 'Réf. de l’annonce : 120037E1GVK3', 'Publiée le 24 oct. 2019', 'Modifiée le 10 déc. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
6,Publiée il y a plus de 1 mois | Modifiée le 19 déc. 2019 | Réf. de l’annonce : 120037E1GV4Y,Marcq-en-Barœul 59700 (Plouich - Clémenceau - Calmette),180,D,22,D,1 961 €/m²,"['Prix\u202f: 182 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '92,79 m²', '25 m² de terrain', '4 pièces', '3 chambres', 'Jardin', 'Chauffage : individuel', '1 salle de bain', 'Mandat en exclusivité', 'Réf. de l’annonce : 120037E1GV4Y', 'Publiée il y a plus de 1 mois', 'Modifiée le 19 déc. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
7,Publiée le 16 déc. 2019 | Modifiée le 17 déc. 2019 | Réf. de l’annonce : 120003E1ID5Q,La Madeleine 59110 (Grand Boulevard),210,D,49,E,3 783 €/m²,"['Prix\u202f: 414 500 €, honoraires : 2,40% TTC inclus à la charge de l’acquéreur (404 785 € hors honoraires)', 'Estimez votre mensualité', '107 m²', '3 m² de terrain', '3 pièces', '2 chambres', 'Jardin', 'Chauffage : collectif', '1 salle de bain', '1er étage (sur 4)', 'Réf. de l’annonce : 120003E1ID5Q', 'Publiée le 16 déc. 2019', 'Modifiée le 17 déc. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
8,Publiée le 21 nov. 2019 | Modifiée le 3 déc. 2019 | Réf. de l’annonce : 120036E1HNN4,Marcq-en-Barœul 59700 (Pont - Montplaisir),146,C,4,A,2 120 €/m²,"['Prix\u202f: 159 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '75 m²', '68 m² de terrain', '4 pièces', '3 chambres', 'Jardin', 'Chauffage : individuel', '1 salle de bain', 'Mandat en exclusivité', 'Réf. de l’annonce : 120036E1HNN4', 'Publiée le 21 nov. 2019', 'Modifiée le 3 déc. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
9,Publiée il y a plus de 1 mois | Modifiée le 28 nov. 2019 | Réf. de l’annonce : 120037E1GJLS,Marcq-en-Barœul 59700 (Pont - Montplaisir),180,D,22,D,2 310 €/m²,"['Prix\u202f: 149 000 €, honoraires à la charge du vendeur', 'Estimez votre mensualité', '64,50 m²', '3 pièces', '2 chambres', 'Chauffage : collectif', '2 salles de bain', '1 place de parking', '9 étages', 'Ascenseur', 'Mandat en exclusivité', 'Réf. de l’annonce : 120037E1GJLS', 'Publiée il y a plus de 1 mois', 'Modifiée le 28 nov. 2019', 'Signaler une anomalie sur cette annonce', 'Barèmes de l’agence']"
